City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
4,Cairns,AU,92.07,overcast clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
5,Rikitea,PF,79.12,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
15,Garoua Boulai,CM,81.63,clear sky,5.8833,14.55,Motel le Kadey
24,Puerto Ayora,EC,76.55,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
26,Vao,NC,80.38,broken clouds,-22.6667,167.4833,Nataiwatch
30,Atuona,PF,78.89,overcast clouds,-9.8,-139.0333,Pearl Resort
32,Saint-Philippe,RE,87.39,clear sky,-21.3585,55.7679,Le Baril
38,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti International Resort
40,Alice Springs,AU,88.21,scattered clouds,-23.7,133.8833,Aurora Alice Springs
46,Christchurch,NZ,77.92,overcast clouds,-43.5333,172.6333,Ibis Hotel Christchurch
49,Kualakapuas,ID,75.11,light rain,-3.0091,114.3876,Hotel Bayu
55,Abidjan,CI,78.76,broken clouds,5.3094,-4.0197,Hôtel Novotel Abidjan
59,Hilo,US,77.29,broken clouds,19.7297,-155.09,Dolphin Bay Hotel
63,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
67,Kavieng,PG,83.55,scattered clouds,-2.5744,150.7967,Kavieng Hotel
69,Victoria,HK,75.96,broken clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
77,Mahebourg,MU,84.49,scattered clouds,-20.4081,57.7,Grand Bel Air
99,Kununurra,AU,93.18,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
121,Salalah,OM,75.29,broken clouds,17.0151,54.0924,Muscat International Hotel
129,Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,Waterford Hotel
131,Kapaa,US,75.52,light rain,22.0752,-159.319,Pono Kai Resort
134,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Tara-Mé
138,Kaduqli,SD,81.03,clear sky,11.0167,29.7167,South Kordofan Hotel
144,Mitsamiouli,KM,82.02,light rain,-11.3847,43.2844,Hotel le Paradis
154,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Page 63 hostel
155,Adzope,CI,78.55,scattered clouds,6.1069,-3.8619,Muguet
158,Mackay,AU,83.48,broken clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
159,Asosa,ET,78.98,few clouds,10.0667,34.5333,Africa Hotel
