City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bathsheba,BB,13.2167,-59.5167,77.61,69,75,17.27,broken clouds
1,Hofn,IS,64.2539,-15.2082,31.93,89,100,17.43,light snow
2,Hobart,AU,-42.8794,147.3294,56.26,86,75,9.22,light rain
3,Oranjemund,NA,-28.55,16.4333,67.64,76,68,16.78,broken clouds
4,Cairns,AU,-16.9167,145.7667,92.07,70,100,10.36,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,79.12,69,0,15.37,clear sky
6,Plerin,FR,48.5425,-2.7798,46.72,80,100,4.61,overcast clouds
7,Butaritari,KI,3.0707,172.7902,80.67,78,100,20.71,light rain
8,Saint-Tite,CA,46.7334,-72.5658,5.23,100,99,1.92,overcast clouds
9,Wajid,SO,3.8093,43.2471,88.79,29,70,12.21,broken clouds
10,Ushuaia,AR,-54.8,-68.3,47.86,87,0,3.44,clear sky
11,Albany,US,42.6001,-73.9662,20.44,66,100,3.2,overcast clouds
12,Lagoa,PT,39.05,-27.9833,56.55,71,8,10.27,clear sky
13,Hit,IQ,33.6416,42.8251,56.75,42,39,22.39,scattered clouds
14,Tecpan,GT,14.7623,-90.9947,49.62,95,49,6.15,scattered clouds
15,Garoua Boulai,CM,5.8833,14.55,81.63,16,4,6.62,clear sky
16,Nehe,CN,48.4833,124.8333,2.35,89,0,4.41,clear sky
17,Leshukonskoye,RU,64.8989,45.7622,15.57,97,81,5.88,broken clouds
18,Norman Wells,CA,65.282,-126.8329,-41.76,66,0,3.44,clear sky
19,Tiksi,RU,71.6872,128.8694,-16.71,99,100,8.41,overcast clouds
20,Bethel,US,41.3712,-73.414,25.93,67,0,0.0,clear sky
21,Carnarvon,AU,-24.8667,113.6333,85.62,61,8,19.44,clear sky
22,Havoysund,NO,70.9963,24.6622,25.03,87,100,1.9,light snow
23,East London,ZA,-33.0153,27.9116,77.94,69,0,5.75,clear sky
24,Puerto Ayora,EC,-0.7393,-90.3518,76.55,98,91,1.83,light rain
25,Pangnirtung,CA,66.1451,-65.7125,-20.58,82,100,2.55,overcast clouds
26,Vao,NC,-22.6667,167.4833,80.38,75,65,7.7,broken clouds
27,Punta Arenas,CL,-53.15,-70.9167,50.11,76,75,9.22,light rain
28,Lavrentiya,RU,65.5833,-171.0,5.14,96,100,7.83,overcast clouds
29,Saint-Augustin,CA,51.226,-58.6502,-9.71,92,91,4.88,overcast clouds
30,Atuona,PF,-9.8,-139.0333,78.89,79,100,20.58,overcast clouds
31,Nome,US,64.5011,-165.4064,6.49,96,32,5.44,scattered clouds
32,Saint-Philippe,RE,-21.3585,55.7679,87.39,74,6,8.68,clear sky
33,Katsuura,JP,35.1333,140.3,46.9,37,100,6.22,overcast clouds
34,Jijiang,CN,29.2906,106.2542,58.5,48,81,5.03,broken clouds
35,Tomatlan,MX,19.9333,-105.25,64.29,70,100,3.24,overcast clouds
36,Walvis Bay,NA,-22.9575,14.5053,65.08,82,100,6.91,overcast clouds
37,Saint-Denis,FR,48.9167,2.3333,44.15,86,100,9.22,overcast clouds
38,Vaini,TO,-21.2,-175.2,80.76,83,75,13.8,light rain
39,Karakol,KG,42.4907,78.3936,32.11,81,100,0.74,overcast clouds
40,Alice Springs,AU,-23.7,133.8833,88.21,40,40,11.5,scattered clouds
41,Sompeta,IN,18.9333,84.6,84.33,32,76,15.68,broken clouds
42,Skaerbaek,DK,55.1573,8.769,38.91,90,87,12.84,overcast clouds
43,Jamestown,US,42.097,-79.2353,19.54,88,0,10.36,clear sky
44,Mataura,NZ,-46.1927,168.8643,67.55,88,100,2.1,light rain
45,Chokurdakh,RU,70.6333,147.9167,-7.47,99,100,3.44,overcast clouds
46,Christchurch,NZ,-43.5333,172.6333,77.92,50,100,8.05,overcast clouds
47,Abha,SA,18.2164,42.5053,60.62,67,20,10.36,few clouds
48,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,85,77,9.15,broken clouds
49,Kualakapuas,ID,-3.0091,114.3876,75.11,96,100,2.91,light rain
50,Tuktoyaktuk,CA,69.4541,-133.0374,-28.75,98,9,7.2,clear sky
51,Petatlan,MX,17.5167,-101.2667,71.71,58,0,3.62,clear sky
52,Lebu,CL,-37.6167,-73.65,55.24,87,6,18.19,clear sky
53,Saldanha,ZA,-33.0117,17.9442,69.85,76,0,16.6,clear sky
54,Kodiak,US,57.79,-152.4072,29.71,86,100,4.61,overcast clouds
55,Abidjan,CI,5.3094,-4.0197,78.76,100,75,2.3,broken clouds
56,Berlevag,NO,70.8578,29.0864,28.35,74,40,16.11,scattered clouds
57,Sundargarh,IN,22.1167,84.0333,84.09,7,99,3.94,overcast clouds
58,Praia Da Vitoria,PT,38.7333,-27.0667,54.75,100,20,8.5,fog
59,Hilo,US,19.7297,-155.09,77.29,90,75,3.44,broken clouds
60,Thompson,CA,55.7435,-97.8558,-27.24,62,20,13.8,few clouds
61,Buala,SB,-8.145,159.5921,80.49,82,80,7.2,light rain
62,Sinnamary,GF,5.3833,-52.95,73.42,91,99,3.06,overcast clouds
63,Hambantota,LK,6.1241,81.1185,79.14,100,75,5.75,broken clouds
64,Vostok,RU,46.4856,135.8833,-0.83,94,100,11.25,overcast clouds
65,Fontaine,FR,45.1984,5.6827,37.89,83,19,3.0,few clouds
66,Nanortalik,GL,60.1432,-45.2371,19.6,80,99,16.78,overcast clouds
67,Kavieng,PG,-2.5744,150.7967,83.55,70,31,9.31,scattered clouds
68,Amqui,CA,48.4638,-67.4313,-9.96,100,91,3.85,overcast clouds
69,Victoria,HK,22.2855,114.1577,75.96,74,63,13.0,broken clouds
70,Novikovo,RU,51.1537,37.8879,28.56,83,100,9.33,overcast clouds
71,Murgab,TM,37.4966,61.9714,55.27,58,0,4.61,clear sky
72,Vestmannaeyjar,IS,63.4427,-20.2734,41.34,94,100,40.62,light rain
73,Yelizovo,RU,53.1873,158.3805,6.94,71,0,4.47,clear sky
74,Ancud,CL,-41.8697,-73.8203,49.39,87,15,3.87,few clouds
75,Chamba,IN,32.5667,76.1333,64.71,42,100,4.27,overcast clouds
76,Winsum,NL,53.33,6.5208,42.78,87,100,11.81,overcast clouds
77,Mahebourg,MU,-20.4081,57.7,84.49,74,40,5.75,scattered clouds
78,San Patricio,US,28.017,-97.5169,39.07,90,100,8.75,overcast clouds
79,Dikson,RU,73.5069,80.5464,2.57,95,100,8.5,overcast clouds
80,Cape Town,ZA,-33.9258,18.4232,73.11,58,0,16.11,clear sky
81,Kindersley,CA,51.4668,-109.1682,-5.78,65,75,8.05,broken clouds
82,Iralaya,HN,15.0,-83.2333,75.72,79,13,9.69,few clouds
83,Castro,BR,-24.7911,-50.0119,65.14,95,100,3.27,overcast clouds
84,Phayao,TH,19.25,100.25,90.52,18,6,4.14,clear sky
85,Sirjan,IR,29.452,55.6814,49.05,70,99,16.98,overcast clouds
86,Pacific Grove,US,36.6177,-121.9166,44.65,86,0,4.61,clear sky
87,Okhotsk,RU,59.3833,143.3,-3.1,88,98,11.36,overcast clouds
88,Upernavik,GL,72.7868,-56.1549,-14.03,87,100,8.23,overcast clouds
89,Santa Cruz Cabralia,BR,-16.2781,-39.0247,73.63,88,40,2.3,scattered clouds
90,Taoudenni,ML,22.6783,-3.9836,53.85,24,95,13.04,overcast clouds
91,Hutang,CN,31.5333,119.4833,46.56,43,99,7.96,overcast clouds
92,Severo-Kurilsk,RU,50.6789,156.125,25.81,70,100,21.0,overcast clouds
93,Iskateley,RU,67.6803,53.1512,21.29,93,98,13.27,overcast clouds
94,Awjilah,LY,29.1081,21.2869,55.09,47,8,5.19,clear sky
95,Rzhev,RU,56.2624,34.3282,27.09,91,100,11.56,overcast clouds
96,Margate,GB,51.3813,1.3862,44.69,84,44,5.01,scattered clouds
97,Yuci,CN,37.6803,112.7319,35.35,14,0,6.71,clear sky
98,Aykhal,RU,66.0,111.5,-21.55,100,98,3.74,overcast clouds
99,Kununurra,AU,-15.7667,128.7333,93.18,52,69,10.36,broken clouds
100,Sendafa,ET,9.15,39.0333,63.75,25,4,7.2,clear sky
101,Barrow,US,71.2906,-156.7887,-5.78,71,0,21.85,clear sky
102,Smolensk,RU,55.0,33.0,29.46,95,100,11.16,light snow
103,Arraial Do Cabo,BR,-22.9661,-42.0278,74.75,93,100,12.64,overcast clouds
104,Kalianget,ID,-7.05,113.9333,77.09,89,100,13.8,heavy intensity rain
105,Port Alfred,ZA,-33.5906,26.891,75.18,72,29,7.0,scattered clouds
106,Rincon,US,32.296,-81.2354,58.96,95,100,9.22,overcast clouds
107,Kahului,US,20.8947,-156.47,74.84,88,20,6.91,few clouds
108,Dandong,CN,40.1292,124.3947,27.82,21,100,7.65,overcast clouds
109,Hauterive,FR,46.0901,3.4459,43.56,85,100,2.08,overcast clouds
110,Uray,RU,60.1247,64.7758,24.37,88,86,5.01,overcast clouds
111,Plateros,MX,23.2167,-102.85,47.52,54,97,9.53,overcast clouds
112,Yellowknife,CA,62.456,-114.3525,-35.45,67,0,5.75,clear sky
113,Flin Flon,CA,54.7682,-101.865,-20.34,90,100,10.27,overcast clouds
114,Pisco,PE,-13.7,-76.2167,71.65,83,0,10.36,clear sky
115,Porto Franco,BR,-6.3383,-47.3992,71.44,98,100,3.27,overcast clouds
116,Shubarkuduk,KZ,49.1447,56.4872,20.44,78,10,10.02,clear sky
117,Sitka,US,57.0531,-135.33,42.69,61,100,18.41,light rain
118,Chuy,UY,-33.6971,-53.4616,69.33,81,92,5.03,overcast clouds
119,Longyearbyen,SJ,78.2186,15.6401,10.24,67,40,16.11,scattered clouds
120,Paamiut,GL,61.994,-49.6678,17.04,88,100,16.22,snow
121,Salalah,OM,17.0151,54.0924,75.29,53,75,6.91,broken clouds
122,Avarua,CK,-21.2078,-159.775,73.45,94,100,9.22,light rain
123,Crib Point,AU,-38.35,145.2,55.89,92,100,21.16,light rain
124,Roald,NO,62.5833,6.1333,33.75,100,0,9.22,clear sky
125,Vangaindrano,MG,-23.35,47.6,73.63,89,100,4.61,light rain
126,Belfast,GB,54.5833,-5.9333,49.82,87,100,17.27,overcast clouds
127,Manica,FR,49.0,-1.1667,45.86,80,100,6.51,overcast clouds
128,El Tigre,VE,8.8875,-64.2454,68.79,85,0,11.36,clear sky
129,Port Elizabeth,ZA,-33.918,25.5701,77.09,72,0,10.36,clear sky
130,Saskylakh,RU,71.9167,114.0833,-19.03,100,100,5.23,overcast clouds
131,Kapaa,US,22.0752,-159.319,75.52,91,75,9.22,light rain
132,Jacareacanga,BR,-6.2222,-57.7528,71.37,99,100,1.86,overcast clouds
133,Wuwei,CN,37.9281,102.6414,35.91,24,16,1.95,few clouds
134,Port-Gentil,GA,-0.7193,8.7815,78.76,100,40,6.91,scattered clouds
135,Kaitangata,NZ,-46.2817,169.8464,66.07,87,100,0.69,moderate rain
136,Hermanus,ZA,-34.4187,19.2345,70.81,65,5,8.66,clear sky
137,Chivay,PE,-15.6383,-71.6011,47.19,86,100,2.57,overcast clouds
138,Kaduqli,SD,11.0167,29.7167,81.03,12,5,17.9,clear sky
139,Back Mountain,US,41.3359,-75.9963,21.72,83,64,3.22,broken clouds
140,Ixtapa,MX,20.7,-105.2,70.23,87,78,2.77,broken clouds
141,Provideniya,RU,64.3833,-173.3,13.17,94,65,12.24,broken clouds
142,Qaqortoq,GL,60.7167,-46.0333,8.28,93,100,4.79,overcast clouds
143,Oktyabrskiy,RU,54.4815,53.471,19.58,92,84,7.94,broken clouds
144,Mitsamiouli,KM,-11.3847,43.2844,82.02,76,100,4.61,light rain
145,New Norfolk,AU,-42.7826,147.0587,54.91,75,99,4.0,light rain
146,Busselton,AU,-33.65,115.3333,86.5,31,4,3.56,clear sky
147,Maniitsoq,GL,65.4167,-52.9,1.72,78,82,9.19,broken clouds
